year,state,total_votes,dem,rep,other
1976,TX,4071884,0.511389568072175,0.4797042351894110,0.008173857604980890
1976,UT,541218,0.3364817873758820,0.6243473055219890,0.0391709071021289
1976,VA,1697094,0.47958215632133500,0.4929332140706410,0.02748462960802410
1976,VT,183902,0.42304053245750500,0.5458722580504830,0.03108720949201210
1976,WA,1555534,0.46114260440466100,0.49997749968821,0.038879895907129
1976,WI,2101336,0.4950336357441170,0.4782609730190700,0.02670539123681320
1976,WV,750590,0.5806951864533230,0.4193048135466770,NA
1976,WY,156343,0.39809265525159400,0.5930358250769140,NA
1980,AK,158445,0.2640790179557580,0.5434819653507530,0.18703019975385800
1980,AL,1341929,0.47448859067804600,0.4875012016284020,0.038010207693551600
1980,AR,837582,0.4752263062004680,0.4813427222648050,0.043430971534727300
1980,AZ,873945,0.28244683589928400,0.6060884838290740,0.1114646802716420
1980,CA,8582938,0.35919436910764100,0.5269750288304540,0.11383060206190500
1980,CO,1184450,0.3107003250453800,0.5506893494871040,0.13861032546751700
1980,CT,1406285,0.3852220566954780,0.4815595700729230,0.13262389913851000
1980,DC,173889,0.7489317898199430,0.134068284940393,0.11303187665694800
1980,DE,235668,0.4487414498362100,0.47207087937267700,0.07918767079111290
1980,FL,3686927,0.38500219830769600,0.5551916270650330,0.05972887448002090
1980,GA,1596805,0.5579610534786650,0.409673065903476,0.032365880617858800
1980,HI,303287,0.4480211812573570,0.42900618885741900,0.12297262988522400
1980,IA,1317661,0.3860416298273990,0.5130500181761470,0.10051447223527100
1980,ID,437431,0.25190715792890800,0.6645596676961620,0.08353317437493000
1980,IL,4749721,0.41716408184817600,0.49646052894475300,0.08624822384304260
1980,IN,2242033,0.3765319243739950,0.5600524167128670,0.0634156589131382
1980,KS,979795,0.33287575462214000,0.578500604718334,0.08862364065952570
1980,KY,1295627,0.4765391582608270,0.4903216743707870,0.03313916736838610
1980,LA,1548591,0.45748231779727500,0.5119834740096000,0.030534208193125200
1980,MA,2524090,0.41749779128319500,0.41901477364119300,0.1625805735928590
1980,MD,1540496,0.4713812953749960,0.44180965091762700,0.08680905370737740
1980,ME,523011,0.42250354199051300,0.45605541757247900,0.12128043196032200
1980,MI,3909725,0.42497413500949600,0.48986181892588400,0.08491952758825750
1980,MN,2051916,0.4650156244212730,0.4255866224543310,0.10926080794730400
1980,MO,2099824,0.4434571659339070,0.511557635306578,0.0446975556046602
1980,MS,891750,0.48139164564059400,0.49463302495093900,0.023975329408466500
1980,MT,363952,0.32430650195630200,0.5682452631116190,0.10744823493207900
1980,NC,1855833,0.47182855353903100,0.49304975178262300,0.035121694678346600
1980,ND,301116,0.262985029025359,0.6432570836488260,0.09375788732581460
1980,NE,639533,0.2602273846697510,0.6555001852914550,0.08427243003879390
1980,NH,383990,0.28350738300476600,0.5773718065574630,0.13894372249277300
1980,NJ,2975684,0.3855799204485420,0.5197315978443950,0.09468848170706300
1980,NM,456237,0.36784828937591600,0.5496682645204140,0.0824834461036698
1980,NV,243692,0.2735666332912040,0.6361185430789690,0.09031482362982780
1980,NY,6201959,0.4399209991552670,0.4665995050918590,0.09330793705666230
1980,OH,4283603,0.40909813537809200,0.5151142624561610,0.07578760216574690
1980,OK,1149708,0.3496766135401340,0.6049970949145350,0.04532629154533150
1980,OR,1181516,0.3866981065004620,0.48331465676300600,0.12853740448711700
1980,PA,4561501,0.4247593062020590,0.49586134037896700,0.07937935341897330
1980,RI,415967,0.4768214786269100,0.3721280774676840,0.15105044390540600
1980,SC,888258,0.4820896631384130,0.4945376230779800,0.023372713783607900
1980,SD,327703,0.3169180630021700,0.605252316884496,0.07782962011333430
1980,TN,1617616,0.4840771851910470,0.48698887745917400,0.02883997190927880
1980,TX,4541636,0.414200301389191,0.5528195126161590,0.03286392832891060
1980,UT,604152,0.20568664839312000,0.7277754604801440,0.06653789112673630
1980,VA,1866032,0.40308740686119000,0.5303279900880590,0.06658460305075160
1980,VT,213299,0.3842118340920490,0.4436401483363730,0.17021176845648600
1980,WA,1742394,0.3731607202504140,0.4965834363525130,0.13025584339707300
1980,WI,2273221,0.4318031550825900,0.47898774470234100,0.08862094798525970
1980,WV,737715,0.49810834807479900,0.45302860860901600,0.04886304331618580
1980,WY,176713,0.27970211586018000,0.6264394809663130,0.09385840317350730
1984,AK,207605,0.29867777751017600,0.666539823221984,0.034782399267840400
1984,AL,1441713,0.38280781265064500,0.6054249354760620,0.011767251873292400
1984,AR,884406,0.38290785001458600,0.6046702532547270,0.012421896730687000
1984,AZ,1025897,0.32542643169830900,0.6642148285841560,0.010358739717535000
1984,CA,9505041,0.41267775699231600,0.5751694285169310,0.012152814490752900
1984,CO,1295380,0.3512289830011270,0.6344215596967690,0.014349457302104400
1984,CT,1466900,0.3882998159383730,0.6073195173495130,0.004380666712113980
1984,DC,211288,0.853848775131574,0.137296013024876,0.008855211843550040
1984,DE,254572,0.3993212136448630,0.5978269409047340,0.0028518454504030300
1984,FL,4180051,0.3466024696827860,0.653185810412361,2.11719904852836E-04
1984,GA,1776103,0.3978530524412150,0.6017229856601790,4.23961898606106E-04
1984,HI,335846,0.43815915627996200,0.5509965877217530,0.010844255998284900
1984,IA,1319805,0.4588708180375130,0.5327211216808540,0.008408060281632510
1984,ID,411144,0.2639221294728850,0.723646702858366,0.012431167668748700
1984,IL,4819088,0.43296553206747800,0.5617459154097210,0.0052885525228009900
