"","cycle","state","Margin_vote_DvR","Margin_share_DvR","total_vote","Biden_DEM_vote","Biden_DEM_share","Trump_REP_vote","Trump_REP_share","Jorgensen_LIB_vote","Jorgensen_LIB_share","Hawkins_GRN_vote","Hawkins_GRN_share","Other_vote","Other_share"
"41",2020,"Ohio",475669,0.0803196176016961,5922202,2679165,0.45239338340705,3154834,0.532713001008746,67569,0.0114094385838241,18812,0.00317652116560698,1822,0.000307655834772269
"42",2020,"Oklahoma",516390,0.330870975120763,1560699,503890,0.322861743359866,1020280,0.65373271848063,24731,0.0158461048542993,0,0,11798,0.00755943330520491
"43",2020,"Oregon",-381935,-0.160860726077055,2374321,1340383,0.564533186540489,958448,0.403672460463434,41582,0.0175132174630136,11831,0.00498289826859974,22077,0.00929823726446424
"44",2020,"Pennsylvania",-80555,-0.0116488363527567,6915283,3458229,0.500084956754481,3377674,0.488436120401725,79380,0.011478922843794,0,0,0,0
"45",2020,"Rhode Island",-107564,-0.207749967648916,517757,307486,0.593880913246948,199922,0.386130945598032,5053,0.0097594045082925,0,0,5296,0.0102287366467281
"46",2020,"South Carolina",293562,0.116802058146785,2513329,1091541,0.434300881420618,1385103,0.551102939567402,27916,0.0111071809540255,6907,0.00274814797426043,1862,0.000740850083693778
"47",2020,"South Dakota",110572,0.26164137536115,422609,150471,0.356052521361353,261043,0.617693896722502,11095,0.0262535819161447,0,0,0,0
"48",2020,"Tennessee",708764,0.232088598952601,3053851,1143711,0.374514342710237,1852475,0.606602941662838,29877,0.00978338497850747,4545,0.00148828479189063,23243,0.00761104585652673
"49",2020,"Texas",631221,0.0557859368968214,11315056,5259126,0.464790099138705,5890347,0.520576036035526,126243,0.0111570813259784,33396,0.00295146572849485,5944,0.000525317771295166
"50",2020,"Utah",304858,0.204837904466135,1488289,560282,0.376460485833061,865140,0.581298390299196,38447,0.0258330203340883,5053,0.00339517392119407,19367,0.013012929612461
"51",2020,"Vermont",-130116,-0.354126522747314,367428,242820,0.66086416930664,112704,0.306737646559326,3608,0.00981961091696877,1310,0.00356532436286837,6986,0.0190132488541973
"52",2020,"Virginia",-451138,-0.101140135105203,4460524,2413568,0.541095171778024,1962430,0.439955036672821,64761,0.0145186978032177,0,0,19765,0.00443109374593658
"53",2020,"Washington",-784961,-0.192033233919598,4087631,2369612,0.579703011353031,1584651,0.387669777433433,80500,0.0196935584449771,18289,0.00447422969441224,34579,0.00845942307414735
"54",2020,"West Virginia",309398,0.389311603548874,794731,235984,0.296935692706085,545382,0.686247296254959,10687,0.0134473173941875,2599,0.0032702889405346,79,0.0000994047042332563
"55",2020,"Wisconsin",-20682,-0.00627099541818915,3298041,1630866,0.494495368614277,1610184,0.488224373196088,38491,0.0116708676453689,1089,0.000330196016362441,17411,0.00527919452790308
"56",2020,"Wyoming",120068,0.433826531533973,276765,73491,0.265535743320145,193559,0.699362274854118,5768,0.0208407855039474,0,0,3947,0.0142611963217892
