"","cycle","state","state_abb","party","vote_share","total_votes"
"189",1980,"Florida","FL","other",0.0597288744800209,220216
"190",1980,"Georgia","GA","dem",0.557961053478665,890955
"191",1980,"Georgia","GA","rep",0.409673065903476,654168
"192",1980,"Georgia","GA","other",0.0323658806178588,51682
"193",1980,"Hawaii","HI","dem",0.448021181257357,135879
"194",1980,"Hawaii","HI","rep",0.429006188857419,130112
"195",1980,"Hawaii","HI","other",0.122972629885224,37295.9999999999
"196",1980,"Idaho","ID","dem",0.251907157928908,110192
"197",1980,"Idaho","ID","rep",0.664559667696162,290699
"198",1980,"Idaho","ID","other",0.08353317437493,36540
"199",1980,"Illinois","IL","dem",0.417164081848176,1981413
"200",1980,"Illinois","IL","rep",0.496460528944753,2358049
"201",1980,"Illinois","IL","other",0.0862482238430426,409655
"202",1980,"Indiana","IN","dem",0.376531924373995,844197.000000001
"203",1980,"Indiana","IN","rep",0.560052416712867,1255656
"204",1980,"Indiana","IN","other",0.0634156589131382,142180
"205",1980,"Iowa","IA","dem",0.386041629827399,508672
"206",1980,"Iowa","IA","rep",0.513050018176147,676026
"207",1980,"Iowa","IA","other",0.100514472235271,132443.999999999
"208",1980,"Kansas","KS","dem",0.33287575462214,326150
"209",1980,"Kansas","KS","rep",0.578500604718334,566812
"210",1980,"Kansas","KS","other",0.0886236406595257,86833
"211",1980,"Kentucky","KY","dem",0.476539158260827,617417
"212",1980,"Kentucky","KY","rep",0.490321674370787,635274
"213",1980,"Kentucky","KY","other",0.0331391673683861,42936
"214",1980,"Louisiana","LA","dem",0.457482317797275,708453
"215",1980,"Louisiana","LA","rep",0.5119834740096,792853
"216",1980,"Louisiana","LA","other",0.0305342081931252,47284.9999999999
"217",1980,"Maine","ME","dem",0.422503541990513,220974
"218",1980,"Maine","ME","rep",0.456055417572479,238522
"219",1980,"Maine","ME","other",0.121280431960322,63431
"220",1980,"Maine CD-1","ME-1","dem",0.434901418450206,117613
"221",1980,"Maine CD-1","ME-1","rep",0.466927480069222,126274
"222",1980,"Maine CD-1","ME-1","other",0.0981711014805721,26549
"223",1980,"Maine CD-2","ME-2","dem",0.426832894226084,103361
"224",1980,"Maine CD-2","ME-2","rep",0.463532074100381,112248
"225",1980,"Maine CD-2","ME-2","other",0.109635031673535,26548.9999999999
"226",1980,"Maryland","MD","dem",0.471381295374996,726161
"227",1980,"Maryland","MD","rep",0.441809650917627,680606.000000001
"228",1980,"Maryland","MD","other",0.0868090537073774,133729
"229",1980,"Massachusetts","MA","dem",0.417497791283195,1053802
"230",1980,"Massachusetts","MA","rep",0.419014773641193,1057631
"231",1980,"Massachusetts","MA","other",0.162580573592859,410367.999999999
"232",1980,"Michigan","MI","dem",0.424974135009496,1661532
"233",1980,"Michigan","MI","rep",0.489861818925884,1915225
"234",1980,"Michigan","MI","other",0.0849195275882575,332012
"235",1980,"Minnesota","MN","dem",0.465015624421273,954173.000000001
"236",1980,"Minnesota","MN","rep",0.425586622454331,873268.000000001
"237",1980,"Minnesota","MN","other",0.109260807947304,224194
"238",1980,"Mississippi","MS","dem",0.481391645640594,429281
"239",1980,"Mississippi","MS","rep",0.494633024950939,441089
"240",1980,"Mississippi","MS","other",0.0239753294084665,21380
"241",1980,"Missouri","MO","dem",0.443457165933907,931182
"242",1980,"Missouri","MO","rep",0.511557635306578,1074181
"243",1980,"Missouri","MO","other",0.0446975556046602,93857
"244",1980,"Montana","MT","dem",0.324306501956302,118032
"245",1980,"Montana","MT","rep",0.568245263111619,206814
"246",1980,"Montana","MT","other",0.107448234932079,39106
"247",1980,"Nebraska","NE","dem",0.260227384669751,166424
"248",1980,"Nebraska","NE","rep",0.655500185291455,419214
"249",1980,"Nebraska","NE","other",0.0842724300387939,53895
"250",1980,"Nevada","NV","dem",0.273566633291204,66666.0000000001
"251",1980,"Nevada","NV","rep",0.636118543078969,155017
"252",1980,"Nevada","NV","other",0.0903148236298278,22009
"253",1980,"New Hampshire","NH","dem",0.283507383004766,108864
"254",1980,"New Hampshire","NH","rep",0.577371806557463,221705
"255",1980,"New Hampshire","NH","other",0.138943722492773,53352.9999999999
"256",1980,"New Jersey","NJ","dem",0.385579920448542,1147364
"257",1980,"New Jersey","NJ","rep",0.519731597844395,1546557
"258",1980,"New Jersey","NJ","other",0.094688481707063,281763
"259",1980,"New Mexico","NM","dem",0.367848289375916,167826
"260",1980,"New Mexico","NM","rep",0.549668264520414,250779
"261",1980,"New Mexico","NM","other",0.0824834461036698,37632
"262",1980,"New York","NY","dem",0.439920999155267,2728372
"263",1980,"New York","NY","rep",0.466599505091859,2893831
"264",1980,"New York","NY","other",0.0933079370566623,578692
"265",1980,"North Carolina","NC","dem",0.471828553539031,875635.000000001
"266",1980,"North Carolina","NC","rep",0.493049751782623,915018.000000001
"267",1980,"North Carolina","NC","other",0.0351216946783466,65180
"268",1980,"North Dakota","ND","dem",0.262985029025359,79189
"269",1980,"North Dakota","ND","rep",0.643257083648826,193695
"270",1980,"North Dakota","ND","other",0.0937578873258146,28232
"271",1980,"Ohio","OH","dem",0.409098135378092,1752414
"272",1980,"Ohio","OH","rep",0.515114262456161,2206545
"273",1980,"Ohio","OH","other",0.0757876021657469,324644
"274",1980,"Oklahoma","OK","dem",0.349676613540134,402026
"275",1980,"Oklahoma","OK","rep",0.604997094914535,695570
"276",1980,"Oklahoma","OK","other",0.0453262915453315,52112
"277",1980,"Oregon","OR","dem",0.386698106500462,456890
"278",1980,"Oregon","OR","rep",0.483314656763006,571044
"279",1980,"Oregon","OR","other",0.128537404487117,151869.000000001
"280",1980,"Pennsylvania","PA","dem",0.424759306202059,1937540
"281",1980,"Pennsylvania","PA","rep",0.495861340378967,2261872
"282",1980,"Pennsylvania","PA","other",0.0793793534189733,362089
"283",1980,"Rhode Island","RI","dem",0.47682147862691,198342
"284",1980,"Rhode Island","RI","rep",0.372128077467684,154793
"285",1980,"Rhode Island","RI","other",0.151050443905406,62832
"286",1980,"South Carolina","SC","dem",0.482089663138413,428220
"287",1980,"South Carolina","SC","rep",0.49453762307798,439277
"288",1980,"South Carolina","SC","other",0.0233727137836079,20761
"289",1980,"South Dakota","SD","dem",0.31691806300217,103855
"290",1980,"South Dakota","SD","rep",0.605252316884496,198343
"291",1980,"South Dakota","SD","other",0.0778296201133343,25505
"292",1980,"Tennessee","TN","dem",0.484077185191047,783051.000000001
"293",1980,"Tennessee","TN","rep",0.486988877459174,787760.999999999
"294",1980,"Tennessee","TN","other",0.0288399719092788,46651.9999999999
"295",1980,"Texas","TX","dem",0.414200301389191,1881147
"296",1980,"Texas","TX","rep",0.552819512616159,2510705
"297",1980,"Texas","TX","other",0.0328639283289106,149256
"298",1980,"Utah","UT","dem",0.20568664839312,124266
"299",1980,"Utah","UT","rep",0.727775460480144,439687
"300",1980,"Utah","UT","other",0.0665378911267363,40199
"301",1980,"Vermont","VT","dem",0.384211834092049,81952
"302",1980,"Vermont","VT","rep",0.443640148336373,94628
"303",1980,"Vermont","VT","other",0.170211768456486,36306
"304",1980,"Virginia","VA","dem",0.40308740686119,752174
"305",1980,"Virginia","VA","rep",0.530327990088059,989609.000000001
"306",1980,"Virginia","VA","other",0.0665846030507516,124249
"307",1980,"Washington","WA","dem",0.373160720250414,650193
"308",1980,"Washington","WA","rep",0.496583436352513,865244.000000001
"309",1980,"Washington","WA","other",0.130255843397073,226957
"310",1980,"West Virginia","WV","dem",0.498108348074799,367462
"311",1980,"West Virginia","WV","rep",0.453028608609016,334206
"312",1980,"West Virginia","WV","other",0.0488630433161858,36047
"313",1980,"Wisconsin","WI","dem",0.43180315508259,981584
"314",1980,"Wisconsin","WI","rep",0.478987744702341,1088845
"315",1980,"Wisconsin","WI","other",0.0886209479852597,201455
"316",1980,"Wyoming","WY","dem",0.27970211586018,49427
"317",1980,"Wyoming","WY","rep",0.626439480966313,110700
"318",1980,"Wyoming","WY","other",0.0938584031735073,16586
"319",1984,"Alabama","AL","dem",0.382807812650645,551898.999999999
"320",1984,"Alabama","AL","rep",0.605424935476062,872849
"321",1984,"Alabama","AL","other",0.0117672518732924,16965
"322",1984,"Alaska","AK","dem",0.298677777510176,62007.0000000001
"323",1984,"Alaska","AK","rep",0.666539823221984,138377
"324",1984,"Alaska","AK","other",0.0347823992678404,7221.00000000001
"325",1984,"Arizona","AZ","dem",0.325426431698309,333854
"326",1984,"Arizona","AZ","rep",0.664214828584156,681416
"327",1984,"Arizona","AZ","other",0.010358739717535,10627
"328",1984,"Arkansas","AR","dem",0.382907850014586,338646
"329",1984,"Arkansas","AR","rep",0.604670253254727,534774
"330",1984,"Arkansas","AR","other",0.012421896730687,10986
"331",1984,"California","CA","dem",0.412677756992316,3922519
"332",1984,"California","CA","rep",0.575169428516931,5467009
"333",1984,"California","CA","other",0.0121528144907529,115513
"334",1984,"Colorado","CO","dem",0.351228983001127,454975
"335",1984,"Colorado","CO","rep",0.634421559696769,821817.000000001
"336",1984,"Colorado","CO","other",0.0143494573021044,18588
"337",1984,"Connecticut","CT","dem",0.388299815938373,569596.999999999
"338",1984,"Connecticut","CT","rep",0.607319517349513,890877.000000001
"339",1984,"Connecticut","CT","other",0.00438066671211398,6426
"340",1984,"Delaware","DE","dem",0.399321213644863,101656
"341",1984,"Delaware","DE","rep",0.597826940904734,152190
"342",1984,"Delaware","DE","other",0.00285184545040303,726
"343",1984,"District of Columbia","DC","dem",0.853848775131574,180408
"344",1984,"District of Columbia","DC","rep",0.137296013024876,29009
"345",1984,"District of Columbia","DC","other",0.00885521184355004,1871
"346",1984,"Florida","FL","dem",0.346602469682786,1448816
"347",1984,"Florida","FL","rep",0.653185810412361,2730350
"348",1984,"Florida","FL","other",0.000211719904852836,885.000000000002
"349",1984,"Georgia","GA","dem",0.397853052441215,706627.999999999
"350",1984,"Georgia","GA","rep",0.601722985660179,1068722
"351",1984,"Georgia","GA","other",0.000423961898606106,753.000000000001
"352",1984,"Hawaii","HI","dem",0.438159156279962,147154
"353",1984,"Hawaii","HI","rep",0.550996587721753,185050
"354",1984,"Hawaii","HI","other",0.0108442559982849,3641.99999999999
"355",1984,"Idaho","ID","dem",0.263922129472885,108510
"356",1984,"Idaho","ID","rep",0.723646702858366,297523
"357",1984,"Idaho","ID","other",0.0124311676687487,5111.00000000002
"358",1984,"Illinois","IL","dem",0.432965532067478,2086499
"359",1984,"Illinois","IL","rep",0.561745915409721,2707103
"360",1984,"Illinois","IL","other",0.00528855252280099,25486
"361",1984,"Indiana","IN","dem",0.37682713789856,841480.999999999
"362",1984,"Indiana","IN","rep",0.616743145867862,1377230
"363",1984,"Indiana","IN","other",0.00642971623357809,14358
"364",1984,"Iowa","IA","dem",0.458870818037513,605620
"365",1984,"Iowa","IA","rep",0.532721121680854,703087.999999999
"366",1984,"Iowa","IA","other",0.00840806028163251,11097
"367",1984,"Kansas","KS","dem",0.325980365776215,333149
"368",1984,"Kansas","KS","rep",0.66272207876586,677296
"369",1984,"Kansas","KS","other",0.0112975554579248,11546
"370",1984,"Kentucky","KY","dem",0.394012465813948,539539.000000001
"371",1984,"Kentucky","KY","rep",0.600069376234623,821702
"372",1984,"Kentucky","KY","other",0.00591815795142933,8104
"373",1984,"Louisiana","LA","dem",0.381753926302801,651585.999999999
"374",1984,"Louisiana","LA","rep",0.607737069243307,1037299
"375",1984,"Louisiana","LA","other",0.0105090044538915,17937
"376",1984,"Maine","ME","dem",0.387810407416514,214515
"377",1984,"Maine","ME","rep",0.608340685246518,336500
"378",1984,"Maine","ME","other",0.00384890733696831,2129
"379",1984,"Maine CD-1","ME-1","dem",0.400024522576097,117450
"380",1984,"Maine CD-1","ME-1","rep",0.597642426781378,175472
"381",1984,"Maine CD-1","ME-1","other",0.00233305064252555,684.999999999999
"382",1984,"Maine CD-2","ME-2","dem",0.375202937765752,97065
"383",1984,"Maine CD-2","ME-2","rep",0.622450715114032,161028
"384",1984,"Maine CD-2","ME-2","other",0.00234634712021647,607.000000000001
"385",1984,"Maryland","MD","dem",0.470163908601666,787935
"386",1984,"Maryland","MD","rep",0.525050525905006,879918
"387",1984,"Maryland","MD","other",0.00478556549332796,8020.00000000001
"388",1984,"Massachusetts","MA","dem",0.484337826734021,1239606
"389",1984,"Massachusetts","MA","rep",0.512207825089094,1310936
"390",1984,"Massachusetts","MA","other",0.00345434817688482,8841
"391",1984,"Michigan","MI","dem",0.402360759437067,1529638
"392",1984,"Michigan","MI","rep",0.592260271702505,2251571
"393",1984,"Michigan","MI","other",0.00537896886042879,20449
